Date,Rank,Alpha,ISIN,Instrument,Primary,ICB Sub-Sector,Status,Free Float Pass,Liquidity Pass,Gross Market Capitalisation,ALSI Universe,Cumulative Market Capitalisation,ALSI Current,ALSI Change,ALSI New,Index Current,Index Change,Index New,TOPI Current,TOPI Change,TOPI New,DTOP Current,DTOP Change,DTOP New,RESI Current,RESI Change,RESI New,FINI Current,FINI Change,FINI New,INDI Current,INDI Change,INDI New,PCAP Current,PCAP Change,PCAP New,SAPY Current,SAPY Change,SAPY New,ALTI Universe,ALTI Current,ALTI Change,ALTI New,Board,Notes
2019-12-23 00:00:00.000,253,UCP,ZAE000244745,Unicorn Capital Pnr Ltd,NULL,1775,NULL,TRUE,FALSE,175134673.65,TRUE,0.9998978103308185,FLED,NULL,FLED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,3,UPL,MU0526N00007,Universal Partners Ltd,NULL,8775,"Foreign ",TRUE,FALSE,1410827554.5,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRUE,ALTI,NULL,ALTI,ALTI,NULL
2019-12-23 00:00:00.000,NULL,VIS,ZAE000187407,Visual International Hldgs Ltd,NULL,8633,NULL,TRUE,FALSE,14970621.88,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALTI,Suspended
2019-12-23 00:00:00.000,73,VKE,ZAE000180865,Vukile Property Fund Ltd,NULL,8672,NULL,TRUE,TRUE,18464736186.679996,TRUE,0.9475092767189941,ALSI,NULL,ALSI,MIDC,NULL,MIDC,"    ",,"    ","    ",,"    ",NULL,NULL,NULL,"    ",,"    ",NULL,NULL,NULL,PCAP,,PCAP,SAPY,,SAPY,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,198,VLE,ZAE000016507,Value Group Ltd,NULL,2777,NULL,TRUE,FALSE,975387750,TRUE,0.9978219679607122,FLED,NULL,FLED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,12,VOD,ZAE000132577,Vodacom Group Ltd,NULL,6575,NULL,TRUE,TRUE,236844938618.61,TRUE,0.66480450144765,ALSI,NULL,ALSI,LRGC,NULL,LRGC,TOPI,,TOPI,DTOP,,DTOP,NULL,NULL,NULL,NULL,NULL,NULL,INDI,,INDI,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,236,VUN,ZAE000163382,Vunani Ltd,NULL,8777,NULL,TRUE,FALSE,406112905.8,TRUE,0.9995366304351362,NULL,FLED ADD,FLED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,Board Change
2019-12-23 00:00:00.000,NULL,VVO,GB00BDGT2M75,Vivo Energy plc,NULL,5379,"Foreign ",FALSE,TRUE,29119680150,TRUE,0.9312425648166638,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,"FF < 5%, Net Mcap < 1% of Mid Cap, Net Mcap < 0.5% of Small Cap"
2019-12-23 00:00:00.000,102,WBO,ZAE000009932,Wilson Bayly Hlm-Ovc Ltd,NULL,2357,NULL,TRUE,TRUE,8444562474,TRUE,0.9724099409918638,ALSI,NULL,ALSI,SMLC,NULL,SMLC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"    ",,"    ",NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,NULL,WEA,ZAE000078002,WG Wearne Ltd,NULL,2353,NULL,TRUE,FALSE,8291796.39,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALTI,Suspended
2019-12-23 00:00:00.000,202,WEZ,ZAE000075859,Wesizwe Platinum Ltd,NULL,1779,NULL,TRUE,FALSE,895304881.9000001,TRUE,0.998070739620568,FLED,NULL,FLED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,37,WHL,ZAE000063863,Woolworths Holdings Ltd,NULL,5373,NULL,TRUE,TRUE,60821517126.77,TRUE,0.8539048143280573,ALSI,NULL,ALSI,LRGC,NULL,LRGC,TOPI,,TOPI,DTOP,,DTOP,NULL,NULL,NULL,NULL,NULL,NULL,INDI,,INDI,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,10,WKF,ZAE000087847,Workforce Holdings Ltd,NULL,2793,NULL,TRUE,TRUE,389970148.8,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRUE,ALTI,NULL,ALTI,ALTI,NULL
